Aggregation analysis	PioViewer 1.10.22.11														
File	 D:\Sulva\Apple_Jesolver\AcAdAh.cfr														
Action Line	Root														
Flop	Global %	OOP Equity	OOP EV	OOP EQR	IP Equity	IP EV	IP EQR	BET 22%	BET 22 EV	BET 15%	BET 15 EV	BET 9%	BET 9 EV	CHECK%	CHECK EV
6c 3d 2c	100	52.83	14.3242	90.3732	47.17	15.676	110.784	2.08	19.59	12.2	18.5	19.52	17.45	66.19	12.47
6c 4c 2c	100	52.42	14.795	94.0836	47.58	15.2048	106.516	0.27	19.12	1.13	18.1	31.79	17.21	66.81	13.57
6c 4c 2d	100	52.41	13.7227	87.2819	47.59	16.2773	114.005	1.08	19.38	6.78	18.3	18.85	17.24	73.29	12.31
6c 4c 3c	100	51.62	14.4305	93.1888	48.38	15.5699	107.269	0.38	19.32	1.37	18.26	25.37	17.4	72.88	13.3
6c 4c 3d	100	51.19	13.0907	85.247	48.81	16.9096	115.473	0.68	19.51	2	18.63	11.42	17.25	85.91	12.36
6c 4d 4c	100	53.89	15.0181	92.8855	46.11	14.9823	108.32	0.14	19.89	6.26	18.45	33.71	17.76	59.89	13.1
6c 4d 2c	100	52.38	13.7116	87.2634	47.62	16.2887	114.01	1.01	19.33	6.64	18.32	18.36	17.26	73.99	12.34
6c 4d 3c	100	51.17	13.106	85.3684	48.83	16.894	115.335	0.61	19.51	1.96	18.57	11.79	17.26	85.64	12.36
6c 5c 2c	100	51.97	14.3798	92.2267	48.03	15.6203	108.413	0.24	19.24	0.95	18.17	24.57	17.21	74.23	13.38
6c 5c 2d	100	51.89	12.9537	83.207	48.11	17.0464	118.116	0.86	19.81	2.7	18.49	8.73	17.09	87.71	12.3
6c 5c 3c	100	51.05	13.9201	90.892	48.95	16.0799	109.498	0.4	19.34	1.26	18.39	17.03	17.32	81.31	13.11
6c 5c 3d	100	50.51	12.1425	80.1406	49.49	17.8577	120.266	0.17	20.04	0.52	18.02	1.06	16.88	98.25	12.05
6c 5c 4c	100	50.1	13.4835	89.7034	49.9	16.5161	110.337	0.34	19.12	1.15	18.4	11.88	17.3	86.63	12.87
6c 5c 4d	100	49.18	11.3785	77.1154	50.82	18.622	122.153	0.02	22.71	0.03	21.22	0.07	16.55	99.88	11.37
6c 5d 5c	100	53.36	14.1026	88.1044	46.64	15.8979	113.611	0.08	21.48	1.01	18.28	19.14	17.62	79.77	13.2
6c 5d 2c	100	51.86	12.9787	83.424	48.14	17.0213	117.856	0.91	19.64	2.54	18.51	9.04	17.1	87.52	12.32
6c 5d 3c	100	50.49	12.1987	80.5315	49.51	17.8016	119.857	0.28	19.77	0.69	18.23	1.36	16.97	97.67	12.07
6c 5d 4c	100	49.18	11.4321	77.4772	50.82	18.5686	121.805	0.01	26.2	0.01	25.73	0.06	17.03	99.92	11.43
6d 6c 2c	100	54.57	15.0349	91.8386	45.43	14.9652	109.804	0.12	18.87	1.5	18.08	33.59	17.76	64.79	13.54
6d 6c 3c	100	53.89	14.6724	90.7509	46.11	15.3277	110.812	0.11	19.76	1.22	17.93	29.36	17.66	69.31	13.34
6d 6c 4c	100	53.87	14.7079	91.0122	46.13	15.2924	110.497	0.12	20.17	1.41	18.06	29.59	17.7	68.88	13.34
6d 6c 5c	100	53.44	14.1926	88.5199	46.56	15.8081	113.184	0.07	21.23	0.96	18.02	21.47	17.52	77.5	13.22
6h 6d 6c	100	56.61	18.5334	109.121	43.39	11.4667	88.0992	42.05	18.91	51.1	18.4	6.34	17.53	0.5	13.04
6d 3c 2c	100	52.92	14.4961	91.3059	47.08	15.504	109.774	2.44	19.59	13.71	18.53	20.26	17.44	63.58	12.49
6d 4c 2c	100	52.41	13.7945	87.7321	47.59	16.2056	113.512	0.99	19.31	7.86	18.31	18.61	17.25	72.54	12.34
6d 4c 3c	100	51.26	13.2482	86.149	48.74	16.7519	114.568	0.7	19.42	2.56	18.48	14.05	17.25	82.69	12.35
6d 5c 2c	100	51.84	12.9905	83.5227	48.16	17.0097	117.741	0.87	19.74	2.91	18.49	8.65	17.09	87.57	12.34
6d 5c 3c	100	50.53	12.2668	80.9218	49.47	17.7332	119.487	0.36	19.51	0.84	18.18	1.68	16.94	97.11	12.11
6d 5c 4c	100	49.25	11.5216	77.987	50.75	18.479	121.363	0.04	20.57	0.05	19.87	0.12	17.55	99.79	11.51
6h 6d 2c	100	54.91	15.1854	92.1824	45.09	14.8145	109.52	0.28	18.94	4.96	18.39	34.8	17.85	59.96	13.36
6h 6d 3c	100	54.17	14.8162	91.1677	45.83	15.184	110.441	0.19	18.95	5.15	18.26	28.77	17.84	65.89	13.21
6h 6d 4c	100	54.08	14.6604	90.3629	45.92	15.3398	111.352	0.15	19.41	2.97	18.09	29.15	17.79	67.73	13.15
6h 6d 5c	100	53.62	13.9864	86.9408	46.38	16.0142	115.104	0.06	20.04	1.56	17.91	19.76	17.57	78.62	13
6h 2d 2c	100	54.75	15.3524	93.4781	45.25	14.6476	107.89	12.63	18.01	22.25	17.96	23.42	17.04	41.7	12.21
6h 3d 3c	100	53.8	14.1586	87.7181	46.2	15.8415	114.305	1.13	17.93	13.61	17.75	23.24	17.13	62.02	12.19
6h 3d 2c	100	52.97	14.3204	90.1133	47.03	15.68	111.139	13.82	18.92	16.32	18.11	7.14	17.06	62.72	12.01
6h 4d 4c	100	54.12	15.0417	92.6441	45.88	14.9582	108.677	1.36	18.47	17.58	18.13	27.1	17.6	53.96	12.66
6h 4d 2c	100	52.45	13.4719	85.611	47.55	16.5284	115.876	8.96	18.53	12.97	17.79	4.94	17.04	73.13	11.84
6h 4d 3c	100	51.14	12.7419	83.0446	48.86	17.2585	117.753	1.38	19	4.34	18.2	7.79	17.15	86.49	11.97
6h 5d 5c	100	53.54	13.8695	86.3459	46.46	16.1306	115.738	0.03	21.03	1.52	17.92	17.24	17.59	81.2	13
6h 5d 2c	100	51.92	12.5122	80.3246	48.08	17.488	121.251	2.66	18.91	5.79	17.82	3.76	17.02	87.79	11.77
6h 5d 3c	100	50.42	11.5721	76.5009	49.58	18.4283	123.903	0.18	19.33	0.43	17.68	0.75	16.66	98.64	11.49
6h 5d 4c	100	49.03	10.677	72.5955	50.97	19.3233	126.358	0	1.62	0	1.57	0.02	16.35	99.98	10.68
7c 2d 2c	100	52.47	14.3692	91.2885	47.53	15.6309	109.617	1.42	18.86	10.73	18.21	22.03	17.25	65.82	12.68
7c 3c 2c	100	51.7	15.0931	97.3078	48.3	14.9067	102.88	1.06	20.64	2.66	18.93	34.87	17.3	61.4	13.58
7c 3c 2d	100	51.17	14.0583	91.5862	48.83	15.9416	108.815	6.88	19.77	9.31	18.53	12.48	17.37	71.32	12.34
7c 3d 3c	100	51.66	13.3587	86.2036	48.34	16.6417	114.744	0.35	19.32	2.28	17.98	12.33	17.25	85.04	12.65
7c 3d 2c	100	51.18	14.0823	91.7096	48.82	15.9179	108.694	7.2	19.82	9.11	18.52	12.47	17.37	71.22	12.36
7c 4c 2c	100	51.72	14.8824	95.9253	48.28	15.1176	104.364	0.65	20.39	1.61	18.64	33.32	17.23	64.42	13.52
7c 4c 2d	100	51.34	13.7655	89.3678	48.66	16.2346	111.22	4.59	19.56	8.9	18.47	11.14	17.36	75.37	12.33
7c 4c 3c	100	50.82	14.3943	94.4168	49.18	15.6064	105.774	0.47	19.83	1.64	18.48	24.22	17.45	73.67	13.26
7c 4c 3d	100	50.05	12.703	84.6011	49.95	17.2975	115.433	0.75	19.56	2.12	18.56	4.14	17.31	92.99	12.31
7c 4d 4c	100	52.48	14.3367	91.0667	47.52	15.6635	109.866	0.35	20	4.67	18.36	24.63	17.56	70.35	12.91
7c 4d 2c	100	51.45	13.9234	90.203	48.55	16.0769	110.385	5.35	19.61	9.85	18.47	11.78	17.35	73.02	12.34
7c 4d 3c	100	50.13	12.8294	85.3002	49.87	17.1706	114.779	0.83	19.5	2.49	18.51	6.09	17.27	90.59	12.31
7c 5c 2c	100	51.4	14.7907	95.9197	48.6	15.2092	104.314	0.68	20.42	1.88	18.8	32.76	17.3	64.68	13.34
7c 5c 2d	100	50.95	13.753	89.972	49.05	16.2473	110.42	7.4	19.84	8.26	18.57	7.41	17.29	76.92	12.31
7c 5c 3c	100	50.96	14.55	95.172	49.04	15.4507	105.021	0.5	20.04	1.77	18.6	28.77	17.51	68.96	13.17
7c 5c 3d	100	50.27	13.3029	88.2165	49.73	16.6973	111.911	3.4	19.87	5.22	18.79	8.28	17.17	83.11	12.3
7c 5c 4c	100	50.49	14.1124	93.1631	49.51	15.888	106.975	0.38	19.44	1.66	18.63	22.46	17.5	75.5	12.98
7c 5c 4d	100	49.73	12.7685	85.581	50.27	17.2317	114.267	1.67	19.63	3.38	18.81	2.59	17.58	92.35	12.29
7c 5d 5c	100	51.92	13.8643	89.0112	48.08	16.1362	111.87	0.17	21.14	1.42	18.41	15.58	17.57	82.83	13.07
7c 5d 2c	100	51.03	13.8979	90.7853	48.97	16.1023	109.603	8.28	19.91	9.34	18.6	7.67	17.29	74.72	12.3
7c 5d 3c	100	50.32	13.4276	88.9422	49.68	16.5726	111.203	4.09	19.91	6.1	18.78	9.18	17.17	80.63	12.27
7c 5d 4c	100	49.71	12.7686	85.6232	50.29	17.2318	114.213	1.76	19.59	3.49	18.8	2.6	17.55	92.15	12.28
7c 6c 2c	100	51.78	14.7918	95.2211	48.22	15.2083	105.132	0.53	20.5	1.43	18.93	27.82	17.38	70.21	13.64
7c 6c 2d	100	51.47	13.8046	89.399	48.53	16.1954	111.244	3.51	19.83	5.19	18.9	12.96	17.34	78.34	12.61
7c 6c 3c	100	51.26	14.464	94.0609	48.74	15.5361	106.246	0.33	19.67	1.21	18.45	25.31	17.53	73.15	13.31
7c 6c 3d	100	50.77	13.2759	87.1619	49.23	16.7243	113.242	2.9	19.79	5.28	18.82	4.4	17.37	87.42	12.52
7c 6c 4c	100	50.71	13.9686	91.8289	49.29	16.0306	108.399	0.44	19.68	1.52	18.8	14.11	17.62	83.93	13.24
7c 6c 4d	100	50.17	12.7674	84.8257	49.83	17.2329	115.281	0.73	19.97	1.39	18.92	1.8	17.63	96.08	12.53
7c 6c 5c	100	50.37	13.7378	90.9066	49.63	16.2626	109.233	0.37	19.05	1.55	18.46	10.99	17.63	87.08	13.14
7c 6c 5d	100	49.68	12.504	83.901	50.32	17.4962	115.894	0.34	19.74	0.7	18.75	0.77	17.62	98.18	12.39
7c 6d 6c	100	52.68	14.1403	89.4643	47.32	15.8602	111.735	0.13	21.4	1.19	18.22	19.36	17.49	79.33	13.25
7c 6d 2c	100	51.49	13.8779	89.8431	48.51	16.1221	110.781	3.95	19.84	5.05	18.94	13.35	17.33	77.65	12.65
7c 6d 3c	100	50.78	13.3655	87.733	49.22	16.6347	112.658	3.08	19.82	5.73	18.83	5.37	17.32	85.82	12.52
7c 6d 4c	100	50.11	12.7517	84.8225	49.89	17.2486	115.248	0.79	19.99	1.51	18.93	1.9	17.62	95.81	12.5
7c 6d 5c	100	49.65	12.5054	83.9571	50.35	17.4948	115.821	0.35	19.58	0.73	18.77	0.8	17.58	98.12	12.39
7d 7c 2c	100	52.32	13.2994	84.736	47.68	16.7012	116.752	0.15	19.36	0.5	17.91	1.74	17.25	97.62	13.2
7d 7c 3c	100	51.69	12.9303	83.3767	48.31	17.0702	117.793	0.12	19.73	0.25	17.88	1.03	17	98.6	12.87
7d 7c 4c	100	51.99	12.9312	82.9155	48.01	17.0691	118.5	0.08	20.05	0.13	18.11	0.77	16.99	99.02	12.89
7d 7c 5c	100	51.59	12.8837	83.2426	48.41	17.1167	117.862	0.09	19.86	0.18	18.18	0.8	17.16	98.93	12.83
7d 7c 6c	100	52.26	13.0685	83.3481	47.74	16.9317	118.234	0.06	21.1	0.16	18.17	0.84	17	98.93	13.02
7h 7d 7c	100	54.94	15.721	95.3884	45.06	14.279	105.622	15.43	16.97	42.29	16.65	26.33	15.94	15.94	11.68
7d 3c 2c	100	51.2	14.1281	91.9868	48.8	15.8721	108.408	7.03	19.8	9.59	18.51	13.28	17.31	70.11	12.36
7d 4c 2c	100	51.4	13.8741	89.9745	48.6	16.126	110.604	4.71	19.56	9.71	18.45	11.93	17.32	73.65	12.35
7d 4c 3c	100	50.17	12.9032	85.7235	49.83	17.0968	114.376	0.95	19.52	2.85	18.49	6.96	17.21	89.23	12.32
7d 5c 2c	100	50.93	13.7705	90.1347	49.07	16.23	110.241	7.64	19.85	7.77	18.59	8.53	17.26	76.06	12.28
7d 5c 3c	100	50.31	13.4144	88.88	49.69	16.5857	111.259	4.06	19.89	6.1	18.75	9.09	17.16	80.74	12.26
7d 5c 4c	100	49.81	12.8797	86.1988	50.19	17.1204	113.695	2.06	19.58	4.35	18.75	3.12	17.49	90.47	12.29
7d 6c 2c	100	51.4	13.7697	89.2957	48.6	16.2305	111.323	3.1	19.84	4.93	18.92	12.5	17.34	79.47	12.65
7d 6c 3c	100	50.73	13.2979	87.3785	49.27	16.7024	112.997	2.69	19.79	5.49	18.79	5.01	17.34	86.81	12.52
7d 6c 4c	100	50.15	12.7807	84.957	49.85	17.2195	115.132	0.82	19.94	1.59	18.91	1.93	17.58	95.65	12.52
7d 6c 5c	100	49.66	12.4809	83.7817	50.34	17.5189	115.996	0.32	19.68	0.67	18.74	0.74	17.58	98.27	12.38
7h 7d 2c	100	52.5	13.0599	82.9179	47.5	16.9405	118.884	0.09	18.52	0.28	17.69	1.58	17.25	98.05	12.97
7h 7d 3c	100	51.88	12.7759	82.092	48.12	17.2247	119.309	0.09	18.42	0.19	18.09	1	17	98.72	12.72
7h 7d 4c	100	52.28	12.8666	82.0442	47.72	17.1337	119.67	0.05	19.33	0.17	17.78	1.02	16.89	98.76	12.81
7h 7d 5c	100	51.81	12.6537	81.4181	48.19	17.3469	119.978	0.03	20.74	0.07	18.17	0.36	16.91	99.54	12.63
7h 7d 6c	100	52.45	12.7675	81.1362	47.55	17.2333	120.815	0.03	20.28	0.1	17.57	0.51	16.66	99.36	12.74
7h 2d 2c	100	52.63	14.3067	90.6053	47.37	15.6933	110.439	10.94	17.96	17.17	17.73	10.82	17.03	61.06	12.21
7h 3d 3c	100	51.84	13.2351	85.1011	48.16	16.7649	116.038	1.52	17.83	8.71	17.64	10.3	16.99	79.47	12.18
7h 3d 2c	100	51.17	13.9543	90.9086	48.83	16.046	109.528	18.35	18.82	10.87	18.1	1.35	17	69.43	11.96
7h 4d 4c	100	52.75	14.4794	91.4891	47.25	15.5209	109.505	1.43	18.49	12.78	18.1	22.21	17.45	63.58	12.62
7h 4d 2c	100	51.45	13.6735	88.5824	48.55	16.3265	112.102	14.41	18.64	11.85	17.85	1.59	17.04	72.15	11.92
7h 4d 3c	100	50.07	12.3974	82.5291	49.93	17.6029	117.524	1.32	18.85	4.52	18.19	2.46	17.1	91.69	11.89
7h 5d 5c	100	52.11	13.7546	87.9767	47.89	16.2458	113.088	0.2	19.91	2.09	18.14	15.12	17.63	82.59	12.92
7h 5d 2c	100	51.02	13.6546	89.2172	48.98	16.3455	111.231	14.83	19.08	9.94	17.92	1	16.97	74.23	11.96
7h 5d 3c	100	50.27	13.1529	87.2147	49.73	16.8472	112.925	7.87	19.51	6.78	18.45	2.48	17.11	82.86	12
7h 5d 4c	100	49.67	12.4546	83.5751	50.33	17.5459	116.215	2.93	19.39	3.52	18.44	1.26	17.26	92.29	11.94
7h 6d 6c	100	52.85	13.976	88.1524	47.15	16.0243	113.281	0.14	20.8	1.48	17.91	19.16	17.45	79.21	13.05
7h 6d 2c	100	51.52	13.6436	88.2707	48.48	16.3564	112.467	8.44	19.47	9.06	18.16	3.32	17.13	79.18	12.36
7h 6d 3c	100	50.78	13.0807	85.8641	49.22	16.9193	114.584	5.43	19.59	5.61	18.47	2.21	17.18	86.74	12.22
7h 6d 4c	100	50.12	12.4271	82.6503	49.88	17.5731	117.434	0.78	19.9	1.44	18.58	1.4	17.27	96.37	12.2
7h 6d 5c	100	49.6	12.1579	81.7056	50.4	17.8422	118.005	0.15	20.17	0.25	18.59	0.3	17.32	99.3	12.11
8c 2d 2c	100	54.64	15.3827	93.835	45.36	14.6176	107.429	0.55	18.96	11.66	18.2	35.19	17.48	52.6	13.32
8c 3c 2c	100	53.36	15.7834	98.6049	46.64	14.2165	101.595	1.23	21.07	3.56	19.29	40.57	17.57	54.63	14.11
8c 3c 2d	100	53.36	15.2722	95.3949	46.64	14.7276	105.269	13.15	19.84	11.92	18.54	18.7	17.49	56.22	12.77
8c 3d 3c	100	53.75	14.4822	89.8158	46.25	15.5179	111.835	0.25	19.26	2.99	17.9	25.8	17.32	70.95	13.29
8c 3d 2c	100	53.29	15.1647	94.8584	46.71	14.8354	105.866	12.08	19.86	10.96	18.56	18.75	17.48	58.2	12.8
8c 4c 2c	100	53.19	15.3815	96.3964	46.81	14.6192	104.1	0.69	20.62	2.47	18.86	35.9	17.39	60.94	14
8c 4c 2d	100	53.36	14.6455	91.4835	46.64	15.3547	109.746	9.75	19.67	8.97	18.56	17.06	17.26	64.22	12.64
8c 4c 3c	100	52.91	15.4487	97.3334	47.09	14.5516	102.997	0.97	20.54	3.35	18.96	37.97	17.45	57.72	13.84
8c 4c 3d	100	52.7	14.3935	91.0491	47.3	15.6067	109.973	9.27	19.66	9.46	18.63	12.92	17.26	68.36	12.55
8c 4d 4c	100	54.7	15.431	94.0292	45.3	14.5692	107.212	0.19	19.43	6.65	18.46	36.7	17.75	56.46	13.55
8c 4d 2c	100	53.44	14.7571	92.0448	46.56	15.2428	109.131	11.26	19.69	8.78	18.55	16.71	17.26	63.25	12.69
8c 4d 3c	100	52.85	14.6069	92.1319	47.15	15.3934	108.821	10.94	19.69	10.57	18.6	13.63	17.24	64.85	12.55
8c 5c 2c	100	52.56	15.0739	95.6022	47.44	14.9266	104.876	0.73	20.96	2.58	19.1	28.63	17.54	68.06	13.82
8c 5c 2d	100	52.57	14.1296	89.5989	47.43	15.8706	111.528	8.97	19.88	7.95	18.72	9.82	17.29	73.26	12.5
8c 5c 3c	100	52.28	15.1434	96.5509	47.72	14.8564	103.778	0.99	20.86	3.92	19.11	30.88	17.61	64.21	13.63
8c 5c 3d	100	51.91	13.9005	89.2675	48.09	16.0993	111.581	9.42	19.81	7.7	18.75	6.25	17.29	76.63	12.41
8c 5c 4c	100	51.25	14.312	93.0841	48.75	15.6882	107.272	0.43	19.32	1.63	18.5	20.66	17.6	77.28	13.32
8c 5c 4d	100	50.77	12.3943	81.3769	49.23	17.6057	119.205	0.51	19.3	1.33	18.65	1.8	17.44	96.35	12.18
8c 5d 5c	100	53.64	14.495	90.0758	46.36	15.5051	111.483	0.18	20.8	1.57	18.55	19.61	17.75	78.64	13.59
8c 5d 2c	100	52.65	14.2694	90.35	47.35	15.7308	110.729	10.77	19.89	7.82	18.69	9.72	17.24	71.68	12.54
8c 5d 3c	100	52.06	14.1346	90.5068	47.94	15.8656	110.31	11.96	19.84	8.17	18.71	6.69	17.23	73.18	12.41
8c 5d 4c	100	50.77	12.419	81.5385	49.23	17.5809	119.038	0.54	19.15	1.49	18.54	1.87	17.44	96.1	12.19
8c 6c 2c	100	52.51	15.1377	96.0907	47.49	14.862	104.321	0.84	20.99	2.31	19.17	29.7	17.67	67.14	13.81
8c 6c 2d	100	52.51	14.3732	91.2428	47.49	15.627	109.684	11.61	20.12	7.22	18.93	8.85	17.29	72.32	12.64
8c 6c 3c	100	52.19	15.111	96.5085	47.81	14.8893	103.814	0.99	20.8	2.73	19.09	31.21	17.68	65.07	13.63
8c 6c 3d	100	51.9	14.0918	90.5093	48.1	15.9086	110.242	11.02	20.15	7.01	18.98	5.55	17.35	76.42	12.53
8c 6c 4c	100	51.89	14.6454	94.0721	48.11	15.3553	106.399	0.4	20.06	1.63	18.8	23.79	17.78	74.18	13.52
8c 6c 4d	100	51.79	13.7504	88.5067	48.21	16.2498	112.347	8.77	19.57	7.37	18.85	3.1	17.54	80.76	12.51
8c 6c 5c	100	50.59	13.7083	90.3192	49.41	16.2916	109.912	0.42	19.2	1.29	18.61	8.1	17.48	90.19	13.27
8c 6c 5d	100	50.08	11.9394	79.4642	49.92	18.0607	120.605	0.01	30.01	0.03	19.07	0.08	17.42	99.87	11.93
